,ConvertedCompYearly
3451,35444.0
3452,37026.0
3453,40814.0
3454,2098.0
3455,59073.0
3456,54442.0
3457,97484.0
3458,178267.0
3461,69744.0
3463,161109.0
3464,38666.0
3465,39133.0
3466,28880.0
3469,11963.0
3470,8888.0
3471,1629.0
3472,41611.0
3473,85925.0
3475,86613.0
3477,40814.0
3479,70244.0
3481,51555.0
3482,36654.0
3483,45000.0
3484,32954.0
3486,48977.0
3487,50588.0
3488,6700.0
3489,100275.0
3490,61710.0
3493,101910.0
3494,49493.0
3495,103015.0
3497,85925.0
3498,71073.0
3499,71962.0
3500,59073.0
3502,67666.0
3503,8585.0
3504,118471.0
3505,42962.0
3506,29621.0
3507,95541.0
3509,2545.0
3511,91295.0
3512,75184.0
3513,21198.0
3516,73788.0
3518,150000.0
3519,53836.0
3521,56156.0
3522,69814.0
3523,13033.0
3524,101910.0
3527,72231.0
3529,56000.0
3530,65152.0
3531,134921.0
3532,20447.0
3533,105846.0
3535,138242.0
3537,106960.0
3538,64444.0
3540,52495.0
3541,29000.0
3542,85925.0
3544,37096.0
3545,25434.0
3546,95541.0
3547,64444.0
3548,75184.0
3551,65331.0
3552,55000.0
3553,18663.0
3555,112777.0
3557,167125.0
3558,50621.0
3564,64444.0
3565,26852.0
3566,23927.0
3567,91295.0
3569,87536.0
3571,48333.0
3572,128887.0
3573,105846.0
3575,75184.0
3577,96666.0
3578,62954.0
3581,105258.0
3582,17479.0
3583,96666.0
3584,191990.0
3585,55000.0
3587,34005.0
3590,164976.0
3591,45111.0
3592,60366.0
3594,75184.0
3595,90000.0
3596,32610.0
3597,104184.0
3600,34958.0
3601,80555.0
3603,5982.0
3604,67666.0
3605,69814.0
3606,22555.0
3607,57230.0
3608,102036.0
3612,38140.0
3613,19070.0
3614,85925.0
3615,106960.0
3617,37055.0
3618,90721.0
3619,48333.0
3620,48000.0
3621,64178.0
3623,37592.0
3624,81528.0
3626,53703.0
3627,107406.0
3628,24000.0
3629,190080.0
3630,54777.0
3631,47134.0
3632,86870.0
3633,49407.0
3634,2617.0
3639,75184.0
